"fips","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
38009,138068,158727,191003,146282,172626,173405,256495,333225,334428,305611,344637,477151,494532,531485,380640,329998,376092,509604,456182
38011,93637,86643,108141,130284,170501,217465,262810,314454,249645,261271,293582,325863,349167,343157,269913,226518,244242,209448,222630
38013,38777,42218,56801,50623,69148,68996,86836,134316,152274,141994,172488,244544,300088,262784,210242,186067,163882,189405,199107
38015,2391280,2548419,2778179,2975402,3205073,3376084,3492633,3605721,3783267,3982422,4335668,4885619,5003383,5503525,5858706,5627462,5630954,5744870,5869500
38017,5109415,5569418,5917708,6419045,6819454,7192407,7688374,8030084,8100407,8452913,9112204,10188666,10378999,11594297,12037531,12029376,12417273,12923143,13372068
38019,111019,129102,179829,144382,129054,130048,212905,332388,260204,272690,330749,346628,443457,337032,361097,536086,362514,525512,411713
38021,119310,138938,142844,183865,193630,236575,258854,287808,231379,278876,342011,335441,293303,324203,325952,319460,351583,335367,412065
38023,51596,52449,70838,73356,72172,83116,90045,135065,146111,135889,169018,258710,327225,324616,203335,168427,191940,159320,145502
38025,59220,49512,69121,69621,91973,100963,101603,160956,193462,296849,530144,900625,1087043,1139617,699109,530699,622512,766168,730147
38027,38482,48427,54933,46743,55257,45728,64680,84445,58843,70070,74723,114127,115597,114155,115520,110286,115996,123046,130306
38029,79852,72841,91681,79059,113389,80248,138499,140000,101131,130255,176743,178610,149044,221094,200821,199344,177294,157943,159508
38031,96204,107623,127073,119527,116016,116965,152590,176181,158491,181841,196135,262814,226146,228040,243829,257924,281337,274004,257295
38033,31348,33099,41182,36454,45937,58747,64466,62894,52369,69438,76035,95791,108150,102617,109381,83559,90931,84577,85624
38035,1923324,2081303,2217962,2322474,2428035,2611185,2756335,2857237,2934818,3043652,3154212,3486611,3522145,3768276,3936722,4040620,4226535,4298682,4392879
38037,55467,42144,58498,55721,68328,72477,88218,79620,70326,76515,87333,136943,130943,145395,140146,132766,168105,109280,115183
38039,57667,62917,75443,64783,63309,58561,84775,104034,90421,102482,112532,151219,179582,178926,145248,209015,164778,159518,155309
38041,73609,51449,79711,76752,70994,84874,92521,105700,139971,109706,113581,148100,82625,90303,174006,110490,159108,89645,95427
38043,50934,47606,63846,77717,83822,80021,79979,65901,64347,88682,107233,119576,111061,120209,132008,100480,135835,128969,146091
38045,97210,107779,110678,155371,148874,165221,189963,201988,198944,248118,344384,314439,269584,301807,200268,197762,236979,268204,321693
38047,53795,43474,59767,62049,65556,50105,77254,80109,72266,85151,129991,115440,121416,197919,210809,131049,164488,136713,125782
38049,81743,76253,100621,99963,107068,102697,151446,177709,164808,163816,170051,232714,288865,264434,280119,211139,214959,280660,259722
38051,73985,71072,84582,94845,92343,77657,91598,102980,100600,103597,140917,153611,148621,188730,156594,130891,155485,142625,157604
38053,137315,137780,154698,177731,196375,249813,283234,379226,376851,627953,1017847,1664091,2263863,2950111,2241869,1799891,2086033,2695983,2849766
38055,301567,286365,339703,375564,348724,380508,446966,472459,590571,575232,572624,731772,743884,731463,674793,732909,720044,826976,787609
38057,524714,504022,535172,551722,565076,637779,677655,699814,808431,805935,823357,887448,998613,1027523,1094904,1188305,1135655,1055117,1015911
38059,573443,558756,639311,673734,665179,699345,754855,825433,858650,885183,947741,1157942,1218458,1435725,1409058,1331897,1508657,1579125,1612998
38061,128571,129945,166016,190588,177917,174491,222048,425474,583122,924507,1183448,1639583,1875541,2114615,1540290,1145083,1177107,1354282,1291786
38063,68232,90748,97464,77850,76902,74096,110125,143082,128722,113166,131171,158014,155343,143294,138444,151448,174783,186729,175142
38065,109960,101802,111716,125414,123787,139809,153293,163818,212973,210901,222303,233972,231437,256018,273973,246357,256244,257749,255952
38067,297578,326553,329004,295137,273672,390905,362447,387381,336846,364766,351086,406973,404116,434929,473770,554974,574938,516879,524917
38069,95382,98202,123662,115692,122388,116099,140744,173105,164489,175729,211548,236006,217060,196259,217911,204720,230568,273001,236400
38071,294034,320616,339067,317605,349052,345024,410394,460043,423811,451765,490786,606489,635448,639228,594933,659491,612951,675634,639184
38073,134400,142775,148309,172189,163014,190195,198164,215798,187016,224073,248166,269655,219389,225599,226468,270347,275287,282364,311399
38075,50720,49850,82073,47380,71256,69339,120253,192587,175230,129803,177392,218393,290963,227494,182357,178382,161566,251501,206415
38077,458508,556382,565884,561160,554348,626484,670669,658159,557395,692629,738292,941038,842462,771069,883710,939879,882624,948483,933218
38079,233924,244756,270051,274418,270542,281898,303062,291896,321412,331011,367246,379240,336029,316525,372761,394480,380305,428454,422194
38081,233119,268446,270948,316173,350526,361684,339607,429445,315607,356317,358353,464412,483383,552134,583323,578137,640168,718061,815295
38083,22157,21132,35735,39112,32801,22094,42711,46894,53363,67517,84319,65769,39356,31306,37864,43158,45974,48235,49064
38085,73878,74526,84802,87163,93907,89048,100069,81032,103249,117312,133162,134951,127378,149681,151063,151562,129818,143091,147200
38087,21050,8366,24721,23892,26686,31795,46550,53968,67401,63760,63956,86093,74184,64111,49008,30579,55014,41618,42758
38089,578844,594794,648126,677050,748052,822852,906102,1064847,1184109,1485684,1968755,2805842,3215992,3844616,3196182,2397709,2554862,2749829,2838816
38091,46551,62302,63025,44638,44677,52972,91289,111874,91499,139975,134348,196815,123727,119002,110111,146730,124644,137901,146299
38093,598904,627503,636179,661047,701600,725821,788785,859304,842097,949736,1021938,1158958,1088651,1242399,1207864,1239298,1329961,1336949,1376838
38095,52130,72409,95946,65914,72184,65621,101984,143195,106208,98422,95407,140179,165614,131382,98167,120400,134300,145091,144303
38097,175228,215500,227645,206865,213109,264826,301461,309078,288946,364278,379308,478105,408465,401565,509074,412674,413754,409879,470595
38099,290687,339651,331146,319928,335182,381189,390636,449317,441801,466224,462058,530039,511662,491520,496060,590380,653694,644554,643865
38101,1611152,1704455,1823024,1957799,2004851,2073116,2224970,2548063,2729510,2996063,3420758,4171702,4315426,4421934,4393221,3919024,3870659,4194846,4172904
38103,90698,114800,135058,119623,139172,112358,183635,216878,208348,190177,221575,303945,257286,260360,253313,266797,277376,322866,290061
38105,497281,496833,568832,642379,761468,1012609,1179810,1635877,1652926,2408254,4162547,6884848,7279333,8150625,6153059,4209450,4439200,5263280,5221120
39001,1093495,1055647,1075140,1115806,1054824,1159392,1325691,1241374,1537233,1471926,1577578,1427796,1498502,1448038,1547339,1677159,1487160,978711,787237
39003,3812931,4029612,4142790,4366879,4521252,4686269,4709584,4715250,5606283,6283537,7282471,7246283,6922247,7656097,7687582,7803360,7942707,8551719,8660540
39005,1174248,1229389,1244135,1288607,1323251,1363059,1434521,1427774,1415550,1448160,1512023,1552048,1617081,1620998,1654963,1667386,1714671,1790710,1858667
39007,2142279,2269447,2315572,2425955,2505348,2607344,2635974,2661986,2542513,2686474,2828602,2838210,2836599,2906906,2966310,2986906,3051003,3173451,3308143
39009,1260568,1318254,1340858,1386046,1438104,1482621,1591202,1602754,1660790,1743443,1794548,1787263,1879432,1950578,2005699,2059076,2204410,2174181,2289056
39011,1294629,1345320,1373890,1449887,1491628,1555424,1687615,1679702,1535703,1658651,1813139,1986734,2096049,2126497,2143970,2218504,2378247,2465957,2545495
39013,1448057,1546804,1583721,1635129,1771429,1859322,1963348,2067458,2054005,2130891,2195599,2214750,2406834,3135155,3475999,3939467,5512094,5984081,5319382
39015,496106,512007,537670,586000,606809,665537,712401,708090,717958,776367,809968,798062,816883,814783,845532,853735,875884,882777,888038
39017,9246764,9636923,10154062,11054700,11978689,12724102,13399112,13596311,13240805,13995985,14518979,14847165,15525734,17074054,18401750,19547961,20753350,21952552,22773998
39019,423109,497683,513033,572099,687525,659460,584247,539394,479556,651561,1220940,680159,1328129,2258225,1804615,1617066,1597431,1718931,1560158
39021,811146,833341,886847,950997,954933,996965,1002302,946152,836077,896979,949064,1003254,1082583,1110921,1116038,1118003,1180946,1216436,1218398
39023,3524846,3614684,3617235,3823349,3864961,4067260,3958001,3910978,3852263,3923589,4068204,4135322,4258816,4393227,4526118,4582951,4664043,4843057,4985436
39025,4439366,4577768,4713183,5123437,5277479,5636354,5870436,5644130,5627179,6009570,6325321,6298273,6694342,7083836,7982130,7849959,8191326,8665669,8747966
39027,1634925,1636134,1707658,1908767,2027317,2351531,2398722,2351154,2061076,1755127,1797703,1805754,1826597,1846635,1997296,2070499,2208670,2320529,2402110
39029,2007826,2123130,2167225,2224484,2363513,2458526,2532668,2431706,2342429,2466002,2631624,2710274,2852097,3098475,3083755,3023556,3028823,3206005,3310778
39031,1159053,1270809,1215664,1225225,1261236,1312283,1474866,1417674,1310271,1388077,1513053,1418641,1549567,1725823,1605693,1470585,1449107,1542992,1433558
39033,1115782,1135993,1193676,1251050,1270966,1243259,1239427,1212975,1156593,1155377,1236791,1271432,1288299,1324341,1374738,1378050,1356488,1351984,1424072
39035,63234125,65554757,68296891,71091668,74631336,74900847,77037204,77903417,73985147,74770593,76857903,80103628,82015461,85521637,88171435,89940216,92881876,97878183,101181559
39037,1280500,1338893,1320846,1382274,1323091,1388226,1400328,1586259,1442262,1522408,1596027,1662149,1824534,2044196,1986957,1922835,2159590,2357574,2206417
39039,1242705,1301937,1316412,1405596,1470854,1522302,1564428,1574299,1281134,1398560,1509984,1577459,1654670,1689916,1654796,1779490,1754372,1800599,1852027
39041,3137497,3608609,4456850,5046995,5670663,6015628,6476228,6654298,6759328,7222812,7781669,8348722,8747030,9057982,9360799,10005697,10563236,11170820,11603927
39043,3748101,3797333,4020208,3940007,3839134,3690189,3781444,3723362,3954159,4422682,4880380,5180120,5412451,5569088,4946718,5032398,5029137,5178899,5176097
39045,2285353,2442615,2557366,2686595,2750006,2898033,2967758,3036386,3022150,3164435,3317863,3468719,3641092,3718268,3888712,4022233,4276468,4358580,4544193
39047,661755,688219,750471,806639,785955,857912,960325,918777,928922,899780,960659,1007895,1414705,1817169,2265742,2670142,2928667,2933736,2931392
39049,53302963,55175279,56521344,59150659,62644337,62799052,65371727,65882530,65354274,67725946,70959743,76188811,80454152,85381706,89022802,91909624,94619690,98724891,101117429
39051,1397767,1468326,1505223,1607163,1669754,1725274,1727831,1573422,1343510,1469944,1628470,1678952,1780629,1812557,1919052,2028582,2022200,2113417,2177981
39053,1637204,1515758,1598242,1678134,1628022,1730853,1972518,2104079,2302265,2317334,2356386,2281726,2119305,2230617,2146656,2247474,2388195,2396572,2356992
39055,2301230,2437835,2587979,2777173,2994534,3104611,3160624,3091876,3049560,3207305,3416383,3561730,3654235,3826834,3918521,3938424,4028558,4232509,4406335
39057,4609882,4998254,5222198,5560796,5848398,6288011,6525188,6527908,6824962,7157100,7657132,7721700,7842484,8114149,8590257,8879593,9233256,9721077,10174922
39059,888496,974253,1018818,1032952,1082469,1115695,1166697,1136999,1122855,1148123,1201094,1245863,1412576,1746041,2107612,2069953,2316993,2770044,2844818
39061,47351015,49062178,49964028,51295031,53430865,53862866,55467762,56537635,56255672,58047675,61590838,63814739,65032664,66894291,68804570,72048085,73546946,76971898,81560373
39063,2987003,3115048,3196314,3288197,3370749,3521409,3606633,3639741,3451232,3651502,3846200,4232791,4521105,5097921,5898783,5746036,5405930,5470068,5718342
39065,613628,663860,688330,733464,718588,748664,754707,818559,803323,841495,879889,861580,879927,963603,863206,918218,898179,1000751,1018319
39067,271501,275092,286056,299804,316137,327498,328561,354885,371111,405651,444856,430845,721121,1177668,1388377,1466517,1554699,1463165,1592524
39069,1278125,893208,946615,976547,995525,1074664,1057696,999919,1015728,1019960,1078999,1139919,1239066,1303681,1363336,1338434,1265940,1304997,1328234
39071,738713,789436,838717,893975,917927,930047,1033662,914521,924834,947809,989002,1016061,1027637,1079828,1088359,1111344,1210221,1246882,1261342
39073,420787,455243,458620,471904,495500,527412,543178,533547,520649,540058,561145,572919,580893,587659,629998,613628,663607,663453,693692
39075,1123755,1211748,1217596,1337790,1390355,1393454,1396181,1380067,1405038,1478788,1632005,1675994,1827042,2033046,2179931,2117959,2333541,2493633,2553587
39077,1722298,1760739,1775901,1860500,1968299,2069410,2082246,1921556,1942863,1975775,2036463,2076647,2148607,2154068,2125570,2175219,2206482,2373289,2401844
39079,730500,741203,737249,768711,796819,859417,879650,857577,854389,875734,892591,902386,946078,993232,1013431,1022675,1052024,1053527,1085877
39081,2391239,2423969,2505451,2483310,2561230,2842605,3144233,3294616,2976276,3087616,2986670,2929658,3547193,4236090,4658502,3274519,3744748,4284189,4701512
39083,1129681,1209283,1266073,1386053,1480192,1576269,1628414,1654338,1616736,1733664,1871973,1921685,1969577,2064653,2025782,2067228,2148888,2330284,2319922
