"fips","region","division","netmig2010","netmig2011","netmig2012","netmig2013","netmig2014","netmig2015","netmig2016","netmig2017","netmig2018","netmig2019"
"12035","South","South Atlantic",363,1623,1195,1818,2414,2903,3447,3084,2643,3558
"12037","South","South Atlantic",-3,-27,149,-64,159,70,154,-62,-28,460
"12039","South","South Atlantic",-35,-569,-967,-531,-62,-143,-55,-168,-133,-262
"12041","South","South Atlantic",30,-20,-102,36,53,387,226,282,413,321
"12043","South","South Atlantic",-24,2,-136,51,303,214,351,229,157,188
"12045","South","South Atlantic",-49,-33,42,197,148,-3,199,105,105,-2463
"12047","South","South Atlantic",-154,-144,111,-404,-284,194,7,44,-107,130
"12049","South","South Atlantic",-22,-254,-473,-309,-256,-256,-131,-219,-133,-378
"12051","South","South Atlantic",-211,-380,-1506,-423,404,469,499,703,28,467
"12053","South","South Atlantic",451,851,905,1976,2537,3602,5556,5437,5178,4580
"12055","South","South Atlantic",65,334,311,476,1041,2062,2462,2542,1882,2057
"12057","South","South Atlantic",2650,14545,16773,17818,20756,24736,25665,23034,19178,14449
"12059","South","South Atlantic",-45,58,-90,-26,42,-252,175,104,60,225
"12061","South","South Atlantic",338,1261,1820,2047,3118,3785,4450,3789,3772,3612
"12063","South","South Atlantic",-143,-375,-26,-191,-67,-43,-183,135,-32,-1577
"12065","South","South Atlantic",-24,-182,-292,3,-129,83,-111,257,182,-50
"12067","South","South Atlantic",-69,-7,-10,15,37,-142,34,-143,115,-259
"12069","South","South Atlantic",737,3182,3428,4731,7619,10492,10483,11440,12390,11377
