"fips","region","division","internationalmig2010","internationalmig2011","internationalmig2012","internationalmig2013","internationalmig2014","internationalmig2015","internationalmig2016","internationalmig2017","internationalmig2018","internationalmig2019"
"12115","South","South Atlantic",128,659,509,598,820,1030,1307,1314,803,724
"12117","South","South Atlantic",247,1016,1012,1321,1654,1969,2349,2509,2470,836
"12119","South","South Atlantic",-6,-5,-18,-13,-31,2,7,2,-15,-57
"12121","South","South Atlantic",16,37,28,12,0,8,10,8,6,-5
"12123","South","South Atlantic",4,14,13,13,19,7,14,14,13,4
"12125","South","South Atlantic",3,10,12,17,9,6,6,8,8,0
"12127","South","South Atlantic",143,840,818,1003,1162,1232,1398,1471,1427,420
"12129","South","South Atlantic",0,10,6,5,15,9,9,11,18,-2
"12131","South","South Atlantic",11,33,27,33,2,32,39,37,5,5
"12133","South","South Atlantic",3,0,5,4,7,9,12,11,9,9
"13001","South","South Atlantic",-3,-13,-5,-7,-7,8,8,4,2,2
"13003","South","South Atlantic",0,-1,0,4,3,7,7,2,-2,-1
"13005","South","South Atlantic",0,-4,1,8,4,-3,-5,-5,-5,-5
"13007","South","South Atlantic",0,2,2,3,-1,0,-1,-1,-1,-1
"13009","South","South Atlantic",7,18,28,23,18,36,56,34,26,27
"13011","South","South Atlantic",1,-2,3,2,5,23,25,15,11,11
"13013","South","South Atlantic",15,50,12,21,21,81,102,52,44,44
"13015","South","South Atlantic",3,12,7,-6,-13,37,66,27,19,20
"13017","South","South Atlantic",-1,-4,-4,-5,-1,3,11,7,6,6
"13019","South","South Atlantic",0,6,35,26,14,34,28,18,15,12
"13021","South","South Atlantic",33,106,191,225,159,201,249,160,136,130
"13023","South","South Atlantic",1,9,10,18,7,11,11,5,5,5
"13025","South","South Atlantic",-1,-11,-13,-21,-15,-8,6,2,1,1
"13027","South","South Atlantic",-2,2,7,12,17,21,28,13,12,12
"13029","South","South Atlantic",-1,8,111,62,36,68,40,9,-21,-3
"13031","South","South Atlantic",22,85,135,129,108,105,153,112,104,84
"13033","South","South Atlantic",-1,-4,-3,0,-1,1,8,0,-1,-2
"13035","South","South Atlantic",-1,-1,0,-1,-2,1,4,0,-2,-3
"13037","South","South Atlantic",2,1,8,6,-1,3,5,3,2,2
"13039","South","South Atlantic",46,-41,244,108,81,126,83,-6,-53,-29
"13043","South","South Atlantic",-2,0,-2,11,7,15,10,4,2,2
"13045","South","South Atlantic",26,57,86,168,83,117,144,96,91,55
"13047","South","South Atlantic",9,7,19,21,-1,-3,20,7,1,2
"13049","South","South Atlantic",-4,-20,-9,8,78,99,132,99,97,85
"13051","South","South Atlantic",126,352,843,778,515,806,931,537,428,304
"13053","South","South Atlantic",70,79,502,245,172,258,152,50,-8,38
"13055","South","South Atlantic",3,3,1,4,5,7,10,7,5,5
"13057","South","South Atlantic",38,79,81,80,99,323,462,261,212,217
"13059","South","South Atlantic",73,222,307,445,311,499,690,451,371,326
"13061","South","South Atlantic",0,-3,-3,-4,-5,-2,-2,-2,-2,-2
"13063","South","South Atlantic",103,333,590,689,526,768,1060,643,547,423
"13065","South","South Atlantic",0,3,9,14,14,10,16,9,8,8
"13067","South","South Atlantic",431,1329,2007,2585,1659,2548,3676,2286,1858,1754
"13069","South","South Atlantic",5,19,44,37,-2,17,24,3,-1,-1
"13071","South","South Atlantic",4,4,23,39,19,37,47,1,-18,-18
"13073","South","South Atlantic",78,124,304,195,174,300,323,137,42,75
"13075","South","South Atlantic",1,1,2,1,-2,0,0,0,0,0
"13077","South","South Atlantic",8,3,71,133,90,234,306,192,180,110
"13079","South","South Atlantic",0,4,6,16,9,14,15,10,7,7
"13081","South","South Atlantic",0,8,10,18,13,26,28,16,11,11
"13083","South","South Atlantic",0,1,-6,-6,-7,-8,-5,-7,-7,-7
"13085","South","South Atlantic",-3,-7,-6,1,3,29,21,9,6,6
"13087","South","South Atlantic",-4,-10,-15,-6,-10,-3,0,-3,-4,-4
"13089","South","South Atlantic",864,3020,4275,4840,4003,4918,6984,4683,3908,3831
"13091","South","South Atlantic",0,-2,-1,4,1,8,11,6,5,5
"13093","South","South Atlantic",4,17,26,6,-4,-2,-2,-2,-2,-2
"13095","South","South Atlantic",14,50,98,109,65,85,119,78,76,48
"13097","South","South Atlantic",48,83,95,142,86,114,138,62,38,38
"13099","South","South Atlantic",0,2,1,-1,2,6,8,6,4,4
"13101","South","South Atlantic",-3,2,3,2,6,7,12,8,7,7
"13103","South","South Atlantic",2,9,17,20,31,54,85,46,38,30
"13105","South","South Atlantic",0,-8,-6,5,3,2,2,-3,-2,-2
"13107","South","South Atlantic",-2,-3,-5,-6,-1,0,0,-1,-2,-2
"13109","South","South Atlantic",0,-8,-11,-4,-3,-1,0,0,0,0
"13111","South","South Atlantic",-1,-6,-8,-17,-3,-3,-2,-3,-5,-5
"13113","South","South Atlantic",47,106,180,195,165,206,319,211,170,166
"13115","South","South Atlantic",15,48,98,99,112,176,300,200,175,152
